DataSize,MapSize,LoadFactor,LookupTimeMs
10000,16,625.0000,40.1355
10000,64,156.2500,9.8407
10000,256,39.0625,3.3059
10000,1024,9.7656,1.8323
10000,4096,2.4414,0.8312
50000,16,3125.0000,51.8316
50000,64,781.2500,10.4235
50000,256,195.3125,3.0102
50000,1024,48.8281,1.4003
50000,4096,12.2070,0.9638
100000,16,6250.0000,37.6735
100000,64,1562.5000,10.1540
100000,256,390.6250,3.0245
100000,1024,97.6563,1.3955
100000,4096,24.4141,0.9784
