DataSize,MapSize,LoadFactor,LookupTimeMs
10000,16,625.0000,52.3926
10000,64,156.2500,10.1031
10000,256,39.0625,3.3099
10000,1024,9.7656,1.8658
10000,4096,2.4414,0.8256
50000,16,3125.0000,41.7222
50000,64,781.2500,10.0854
50000,256,195.3125,3.0909
50000,1024,48.8281,1.3900
50000,4096,12.2070,0.9627
100000,16,6250.0000,38.1073
100000,64,1562.5000,10.0546
100000,256,390.6250,2.9926
100000,1024,97.6563,1.3802
100000,4096,24.4141,0.9668
