x, cos(x)
-16.6, -0.628
-16.5, -0.702
-16.4, -0.77
-16.3, -0.83
-16.2, -0.881
-16.1, -0.924
-16.0, -0.958
-15.9, -0.982
-15.8, -0.996
-15.7, -1.0
-15.6, -0.994
-15.5, -0.978
-15.4, -0.953
-15.3, -0.918
-15.2, -0.874
-15.1, -0.821
-15.0, -0.76
-14.9, -0.691
-14.8, -0.615
-14.7, -0.534
-14.6, -0.446
-14.5, -0.355
-14.4, -0.26
-14.3, -0.162
-14.2, -0.063
-14.1, 0.037
-14.0, 0.137
-13.9, 0.235
-13.8, 0.331
-13.7, 0.423
-13.6, 0.512
-13.5, 0.595
-13.4, 0.672
-13.3, 0.743
-13.2, 0.806
-13.1, 0.861
-13.0, 0.907
-12.9, 0.945
-12.8, 0.973
-12.7, 0.991
-12.6, 0.999
-12.5, 0.998
-12.4, 0.986
-12.3, 0.965
-12.2, 0.934
-12.1, 0.893
-12.0, 0.844
-11.9, 0.786
-11.8, 0.72
-11.7, 0.648
-11.6, 0.568
-11.5, 0.483
-11.4, 0.393
-11.3, 0.3
-11.2, 0.203
-11.1, 0.104
-11.0, 0.004
-10.9, -0.095
-10.8, -0.194
-10.7, -0.291
-10.6, -0.385
-10.5, -0.476
-10.4, -0.561
-10.3, -0.641
-10.2, -0.714
-10.1, -0.781
-10.0, -0.839
-9.9, -0.889
-9.8, -0.93
-9.7, -0.962
-9.6, -0.985
-9.5, -0.997
-9.4, -1.0
-9.3, -0.992
-9.2, -0.975
-9.1, -0.948
-9.0, -0.911
-8.9, -0.865
-8.8, -0.811
-8.7, -0.749
-8.6, -0.679
-8.5, -0.602
-8.4, -0.519
-8.3, -0.431
-8.2, -0.339
-8.1, -0.244
-8.0, -0.146
-7.9, -0.046
-7.8, 0.054
-7.7, 0.153
-7.6, 0.251
-7.5, 0.347
-7.4, 0.439
-7.3, 0.526
-7.2, 0.608
-7.1, 0.685
-7.0, 0.754
-6.9, 0.816
-6.8, 0.869
-6.7, 0.914
-6.6, 0.95
-6.5, 0.977
-6.4, 0.993
-6.3, 1.0
-6.2, 0.997
-6.1, 0.983
-6.0, 0.96
-5.9, 0.927
-5.8, 0.886
-5.7, 0.835
-5.6, 0.776
-5.5, 0.709
-5.4, 0.635
-5.3, 0.554
-5.2, 0.469
-5.1, 0.378
-5.0, 0.284
-4.9, 0.187
-4.8, 0.087
-4.7, -0.012
-4.6, -0.112
-4.5, -0.211
-4.4, -0.307
-4.3, -0.401
-4.2, -0.49
-4.1, -0.575
-4.0, -0.654
-3.9, -0.726
-3.8, -0.791
-3.7, -0.848
-3.6, -0.897
-3.5, -0.936
-3.4, -0.967
-3.3, -0.987
-3.2, -0.998
-3.1, -0.999
-3.0, -0.99
-2.9, -0.971
-2.8, -0.942
-2.7, -0.904
-2.6, -0.857
-2.5, -0.801
-2.4, -0.737
-2.3, -0.666
-2.2, -0.589
-2.1, -0.505
-2.0, -0.416
-1.9, -0.323
-1.8, -0.227
-1.7, -0.129
-1.6, -0.029
-1.5, 0.071
-1.4, 0.17
-1.3, 0.267
-1.2, 0.362
-1.1, 0.454
-1.0, 0.54
-0.9, 0.622
-0.8, 0.697
-0.7, 0.765
-0.6, 0.825
-0.5, 0.878
-0.4, 0.921
-0.3, 0.955
-0.2, 0.98
-0.1, 0.995
0.0, 1.0
0.1, 0.995
0.2, 0.98
0.3, 0.955
0.4, 0.921
0.5, 0.878
0.6, 0.825
0.7, 0.765
0.8, 0.697
0.9, 0.622
1.0, 0.54
1.1, 0.454
1.2, 0.362
1.3, 0.267
1.4, 0.17
1.5, 0.071
1.6, -0.029
1.7, -0.129
1.8, -0.227
1.9, -0.323
2.0, -0.416
2.1, -0.505
2.2, -0.589
2.3, -0.666
2.4, -0.737
2.5, -0.801
2.6, -0.857
2.7, -0.904
2.8, -0.942
2.9, -0.971
3.0, -0.99
3.1, -0.999
3.2, -0.998
3.3, -0.987
3.4, -0.967
3.5, -0.936
3.6, -0.897
3.7, -0.848
3.8, -0.791
3.9, -0.726
4.0, -0.654
4.1, -0.575
4.2, -0.49
4.3, -0.401
4.4, -0.307
4.5, -0.211
4.6, -0.112
4.7, -0.012
4.8, 0.087
4.9, 0.187
5.0, 0.284
5.1, 0.378
5.2, 0.469
5.3, 0.554
5.4, 0.635
5.5, 0.709
5.6, 0.776
5.7, 0.835
5.8, 0.886
5.9, 0.927
6.0, 0.96
6.1, 0.983
6.2, 0.997
6.3, 1.0
6.4, 0.993
6.5, 0.977
6.6, 0.95
6.7, 0.914
6.8, 0.869
6.9, 0.816
7.0, 0.754
7.1, 0.685
7.2, 0.608
7.3, 0.526
7.4, 0.439
7.5, 0.347
7.6, 0.251
7.7, 0.153
7.8, 0.054
7.9, -0.046
8.0, -0.146
8.1, -0.244
8.2, -0.339
8.3, -0.431
8.4, -0.519
8.5, -0.602
8.6, -0.679
8.7, -0.749
8.8, -0.811
8.9, -0.865
9.0, -0.911
9.1, -0.948
9.2, -0.975
9.3, -0.992
9.4, -1.0
9.5, -0.997
9.6, -0.985
9.7, -0.962
9.8, -0.93
9.9, -0.889
10.0, -0.839
10.1, -0.781
10.2, -0.714
10.3, -0.641
10.4, -0.561
10.5, -0.476
10.6, -0.385
10.7, -0.291
10.8, -0.194
10.9, -0.095
11.0, 0.004
11.1, 0.104
11.2, 0.203
11.3, 0.3
11.4, 0.393
11.5, 0.483
11.6, 0.568
11.7, 0.648
11.8, 0.72
11.9, 0.786
12.0, 0.844
12.1, 0.893
12.2, 0.934
12.3, 0.965
12.4, 0.986
12.5, 0.998
12.6, 0.999
12.7, 0.991
12.8, 0.973
12.9, 0.945
13.0, 0.907
13.1, 0.861
13.2, 0.806
13.3, 0.743
13.4, 0.672
13.5, 0.595
13.6, 0.512
13.7, 0.423
13.8, 0.331
13.9, 0.235
14.0, 0.137
14.1, 0.037
14.2, -0.063
14.3, -0.162
14.4, -0.26
14.5, -0.355
14.6, -0.446
14.7, -0.534
14.8, -0.615
14.9, -0.691
15.0, -0.76
15.1, -0.821
15.2, -0.874
15.3, -0.918
15.4, -0.953
15.5, -0.978
15.6, -0.994
15.7, -1.0
15.8, -0.996
15.9, -0.982
16.0, -0.958
16.1, -0.924
16.2, -0.881
16.3, -0.83
16.4, -0.77
16.5, -0.702
16.6, -0.628
16.7, -0.547
16.8, -0.461
16.9, -0.37
17.0, -0.275
17.1, -0.178
17.2, -0.079
17.3, 0.021
17.4, 0.121
17.5, 0.219
17.6, 0.316
17.7, 0.409
17.8, 0.498
17.9, 0.582
18.0, 0.66
18.1, 0.732
18.2, 0.796
18.3, 0.853
18.4, 0.901
18.5, 0.94
18.6, 0.969
18.7, 0.989
18.8, 0.999
18.9, 0.999
19.0, 0.989
19.1, 0.969
19.2, 0.939
19.3, 0.9
19.4, 0.852
19.5, 0.796
19.6, 0.731
19.7, 0.66
19.8, 0.581
19.9, 0.497
20.0, 0.408
20.1, 0.315
20.2, 0.219
20.3, 0.12
20.4, 0.02
20.5, -0.08
20.6, -0.179
20.7, -0.276
20.8, -0.371
20.9, -0.461
21.0, -0.548
21.1, -0.629
21.2, -0.703
21.3, -0.771
21.4, -0.83
21.5, -0.882
21.6, -0.924
21.7, -0.958
21.8, -0.982
21.9, -0.996
22.0, -1.0
22.1, -0.994
22.2, -0.978
22.3, -0.953
22.4, -0.918
22.5, -0.873
22.6, -0.82
22.7, -0.759
22.8, -0.69
22.9, -0.615
23.0, -0.533
23.1, -0.446
23.2, -0.354
23.3, -0.259
23.4, -0.161
23.5, -0.062
23.6, 0.038
23.7, 0.138
23.8, 0.236
23.9, 0.332
24.0, 0.424
24.1, 0.512
24.2, 0.596
24.3, 0.673
24.4, 0.743
24.5, 0.806
24.6, 0.861
24.7, 0.908
24.8, 0.945
24.9, 0.973
25.0, 0.991
25.1, 0.999
25.2, 0.998
25.3, 0.986
25.4, 0.964
25.5, 0.933
25.6, 0.893
25.7, 0.843
25.8, 0.786
25.9, 0.72
26.0, 0.647
26.1, 0.568
26.2, 0.483
26.3, 0.393
26.4, 0.299
26.5, 0.202
26.6, 0.103
26.7, 0.004
26.8, -0.096
26.9, -0.195
27.0, -0.292
27.1, -0.386
27.2, -0.476
27.3, -0.562
27.4, -0.642
27.5, -0.715
27.6, -0.781
27.7, -0.84
27.8, -0.89
27.9, -0.931
28.0, -0.963
28.1, -0.985
28.2, -0.997
28.3, -1.0
28.4, -0.992
28.5, -0.975
28.6, -0.947
28.7, -0.911
28.8, -0.865
28.9, -0.811
29.0, -0.748
29.1, -0.678
29.2, -0.601
29.3, -0.519
29.4, -0.431
29.5, -0.338
29.6, -0.243
29.7, -0.145
29.8, -0.045
29.9, 0.055
30.0, 0.154
30.1, 0.252
30.2, 0.347
30.3, 0.439
30.4, 0.527
30.5, 0.609
30.6, 0.685
30.7, 0.754
30.8, 0.816
30.9, 0.87
31.0, 0.915
31.1, 0.951
31.2, 0.977
31.3, 0.993
31.4, 1.0
31.5, 0.996
31.6, 0.983
31.7, 0.96
31.8, 0.927
31.9, 0.885
32.0, 0.834
32.1, 0.775
32.2, 0.708
32.3, 0.634
32.4, 0.554
32.5, 0.468
32.6, 0.377
32.7, 0.283
32.8, 0.186
32.9, 0.087
33.0, -0.013
33.1, -0.113
33.2, -0.212
33.3, -0.308
33.4, -0.402
33.5, -0.491
33.6, -0.576
33.7, -0.654
33.8, -0.727
33.9, -0.792
34.0, -0.849
34.1, -0.897
34.2, -0.937
34.3, -0.967
34.4, -0.988
34.5, -0.998
34.6, -0.999
34.7, -0.99
34.8, -0.971
34.9, -0.942
35.0, -0.904
35.1, -0.856
35.2, -0.801
35.3, -0.737
35.4, -0.666
35.5, -0.588
35.6, -0.504
35.7, -0.415
35.8, -0.322
35.9, -0.226
36.0, -0.128
36.1, -0.028
36.2, 0.072
36.3, 0.171
36.4, 0.268
36.5, 0.363
36.6, 0.454
36.7, 0.541
36.8, 0.622
36.9, 0.697
37.0, 0.765
37.1, 0.826
37.2, 0.878
37.3, 0.921
37.4, 0.956
37.5, 0.98
37.6, 0.995
37.7, 1.0
37.8, 0.995
37.9, 0.98
38.0, 0.955
38.1, 0.921
38.2, 0.877
38.3, 0.825
38.4, 0.764
38.5, 0.696
38.6, 0.621
38.7, 0.54
38.8, 0.453
38.9, 0.362
39.0, 0.267
39.1, 0.169
39.2, 0.07
39.3, -0.03
39.4, -0.13
39.5, -0.228
39.6, -0.324
39.7, -0.417
39.8, -0.506
39.9, -0.589
40.0, -0.667
40.1, -0.738
40.2, -0.802
40.3, -0.857
40.4, -0.904
40.5, -0.943
40.6, -0.971
40.7, -0.99
40.8, -0.999
40.9, -0.998
41.0, -0.987
41.1, -0.967
41.2, -0.936
41.3, -0.896
41.4, -0.848
41.5, -0.79
41.6, -0.725
41.7, -0.653
41.8, -0.574
41.9, -0.489
42.0, -0.4
42.1, -0.306
42.2, -0.21
42.3, -0.111
42.4, -0.012
42.5, 0.088
42.6, 0.187
42.7, 0.285
42.8, 0.379
42.9, 0.469
43.0, 0.555
43.1, 0.635
43.2, 0.709
43.3, 0.776
43.4, 0.835
43.5, 0.886
43.6, 0.928
43.7, 0.96
43.8, 0.983
43.9, 0.997
44.0, 1.0
44.1, 0.993
44.2, 0.976
44.3, 0.95
44.4, 0.914
44.5, 0.869
44.6, 0.815
44.7, 0.753
44.8, 0.684
44.9, 0.608
45.0, 0.525
45.1, 0.438
45.2, 0.346
45.3, 0.25
45.4, 0.152
45.5, 0.053
45.6, -0.047
45.7, -0.146
45.8, -0.244
45.9, -0.34
46.0, -0.432
46.1, -0.52
46.2, -0.603
46.3, -0.679
46.4, -0.749
46.5, -0.812
46.6, -0.866
46.7, -0.911
46.8, -0.948
46.9, -0.975
47.0, -0.992
47.1, -1.0
47.2, -0.997
47.3, -0.985
47.4, -0.962
47.5, -0.93
47.6, -0.889
47.7, -0.839
47.8, -0.78
47.9, -0.714
48.0, -0.64
48.1, -0.56
48.2, -0.475
48.3, -0.385
48.4, -0.29
48.5, -0.193
48.6, -0.095
48.7, 0.005
48.8, 0.105
48.9, 0.204
49.0, 0.301
49.1, 0.394
49.2, 0.484
49.3, 0.569
49.4, 0.648
49.5, 0.721
49.6, 0.787
49.7, 0.844
49.8, 0.894
49.9, 0.934
50.0, 0.965
50.1, 0.986
50.2, 0.998
50.3, 0.999
50.4, 0.991
50.5, 0.973
50.6, 0.945
50.7, 0.907
50.8, 0.861
50.9, 0.805
51.0, 0.742
51.1, 0.672
51.2, 0.594
51.3, 0.511
51.4, 0.423
51.5, 0.33
51.6, 0.234
51.7, 0.136
51.8, 0.036
51.9, -0.064
52.0, -0.163
52.1, -0.261
52.2, -0.356
52.3, -0.447
52.4, -0.534
52.5, -0.616
52.6, -0.692
52.7, -0.76
52.8, -0.821
52.9, -0.874
53.0, -0.918
53.1, -0.953
53.2, -0.979
53.3, -0.994
53.4, -1.0
53.5, -0.996
53.6, -0.981
53.7, -0.957
53.8, -0.924
53.9, -0.881
54.0, -0.829
54.1, -0.769
54.2, -0.702
54.3, -0.627
54.4, -0.546
54.5, -0.46
54.6, -0.369
54.7, -0.274
54.8, -0.177
54.9, -0.078
55.0, 0.022
55.1, 0.122
55.2, 0.22
55.3, 0.317
55.4, 0.41
55.5, 0.499
55.6, 0.583
55.7, 0.661
55.8, 0.733
55.9, 0.797
56.0, 0.853
