x,original_y,salted_y,smoothed_y
85.000000,18369300.000000,-2858908.082487,19397708.304637
86.000000,17916260.000000,14156722.601433,26080801.161267
87.000000,19932550.000000,32432631.502481,18459106.129521
88.000000,22684000.000000,38706668.954074,19222426.532802
89.000000,22367480.000000,-19938755.304890,11505282.533710
90.000000,24377170.000000,6064378.513910,9900853.029378
91.000000,17272900.000000,47146513.498292,13873447.405685
92.000000,19286690.000000,-18416319.085854,8125229.942845
93.000000,23040480.000000,10872197.321004,22515664.034419
94.000000,24413480.000000,26347623.187025,19929573.179749
95.000000,41990210.000000,79788278.084937,29175150.706182
96.000000,28962980.000000,-27840830.374706,10065735.883277
97.000000,19029420.000000,-10076305.163702,10168150.301387
98.000000,29282700.000000,30462572.967229,8377414.136737
99.000000,30889270.000000,19791879.030204,22286513.540063
100.000000,34755550.000000,-6265016.463778,31833835.829871
101.000000,30352690.000000,88971621.321035,47083532.373858
102.000000,35767260.000000,76463049.704693,41503472.029128
103.000000,36187160.000000,-7757617.568583,32850105.430920
104.000000,26318580.000000,-3858578.819254,22024209.750828
105.000000,25361290.000000,78396956.615824,30453378.564231
106.000000,19088310.000000,2433656.336932,27502040.231922
107.000000,22481010.000000,21764999.021975,36633533.568381
108.000000,31434370.000000,66422264.133819,39999145.411185
109.000000,19419650.000000,41462890.196451,35738372.038264
110.000000,57977090.000000,27983216.712918,35678476.916792
111.000000,22187880.000000,3115059.539879,26255902.824827
112.000000,25643090.000000,62115081.675625,32739317.178376
113.000000,18386470.000000,23560505.593312,30585769.712901
114.000000,21158140.000000,9584883.246821,36310644.119030
115.000000,39763300.000000,63045890.744387,44301735.234607
116.000000,32226670.000000,64674552.229226,46122985.765536
117.000000,44289650.000000,33174269.619890,48957062.662650
118.000000,31777930.000000,26591757.439505,38652736.844516
119.000000,27309400.000000,86979032.984901,40717220.770866
120.000000,19362290.000000,-12242791.800147,21891076.836862
121.000000,23946880.000000,12374315.766100,26217558.763736
122.000000,19216820.000000,35471074.771967,21251679.506373
123.000000,20059570.000000,42717237.395482,29492678.545209
124.000000,21162560.000000,-1110275.095824,25576406.725122
125.000000,21007650.000000,43705641.070708,27602714.775173
126.000000,15957630.000000,41011587.771707,24859428.303784
127.000000,25897340.000000,-10865578.006566,28731605.682501
128.000000,26066130.000000,29466389.679130,34424824.631821
129.000000,46882840.000000,104415632.928339,44708937.944473
130.000000,22267820.000000,8048287.685324,35378330.066544
131.000000,21564750.000000,7156406.406236,35645307.377825
132.000000,26919530.000000,60893147.411711,35866313.094309
133.000000,24431920.000000,47911285.774262,34326469.035695
134.000000,28813620.000000,17776848.465833,38170427.754817
135.000000,27883360.000000,10845192.990719,38070105.523666
136.000000,36547440.000000,94923420.266995,44813320.948135
137.000000,47539790.000000,53288546.848723,41731879.651939
138.000000,22481890.000000,-30698219.284978,31648681.654096
139.000000,24619750.000000,67001472.855315,40401071.706332
140.000000,27009520.000000,61847094.358868,41906295.317142
141.000000,33364400.000000,21834861.608730,52702919.096100
142.000000,35824790.000000,53227707.820550,60125845.963508
143.000000,52392970.000000,109720530.957510,64330959.686667
144.000000,40862120.000000,62000038.499050,63789804.768625
145.000000,54017920.000000,903507.852284,52003367.721309
146.000000,69281360.000000,102131278.352780,50990701.299886
147.000000,33935720.000000,52791531.765071,34451761.225841
148.000000,21673390.000000,-34615173.908000,20927909.981274
149.000000,17618870.000000,19746971.974239,15538867.937876
150.000000,13909560.000000,50116396.753107,16198529.969369
151.000000,14991570.000000,-12189200.801561,14412888.261363
152.000000,18355210.000000,7838192.457842,15150653.247161
153.000000,22277930.000000,42467270.103886,9803859.958607
154.000000,20929310.000000,202535.091499,75104.873506
155.000000,18582160.000000,-41864193.322153,-7663815.182903
156.000000,14107450.000000,-8647578.760220,-2651080.385804
157.000000,16866820.000000,26390307.240335,5586876.663900
158.000000,16947420.000000,24615195.771926,20725708.116433
159.000000,17595210.000000,-10292575.414997,19614626.361300
160.000000,20191840.000000,73692226.323649,28751870.089339
161.000000,17897140.000000,14833470.154183,14545951.431401
162.000000,20578020.000000,-18449094.188636,13701608.909039
163.000000,25338630.000000,3298171.210397,5133760.885569
164.000000,17265520.000000,54099911.470371,11426283.950206
165.000000,11362050.000000,-33812819.707932,5842071.217401
166.000000,16935220.000000,-3294759.298397,16396031.034940
167.000000,27316740.000000,63962015.093143,25145201.609545
168.000000,31110640.000000,36078086.362438,31506029.089430
169.000000,20899720.000000,1642035.440243,34646927.084053
170.000000,26067510.000000,50311746.497916,38410514.594324
171.000000,21070330.000000,72462932.016661,40613608.016836
172.000000,18220420.000000,11881055.077714,33747225.743109
173.000000,47800590.000000,18229074.536955,29725086.386710
174.000000,21513990.000000,45633421.959286,22713186.732101
175.000000,21124240.000000,21020805.676779,23172968.336511
176.000000,26551000.000000,-20762375.074671,20297761.874767
177.000000,14669140.000000,62987175.324365,26733420.918330
178.000000,18761470.000000,48586085.233918,21016497.840003
179.000000,21674630.000000,-32027327.923494,14553489.371530
180.000000,18253190.000000,2389962.222670,16797391.661250
181.000000,26932880.000000,63913322.798480,26451329.089115
182.000000,26220850.000000,26693393.292747,30979766.576929
183.000000,30684390.000000,14692377.034522,37559492.934900
184.000000,22526310.000000,48815018.246867,41082948.083093
185.000000,29773430.000000,73179896.090201,45878039.806503
186.000000,30967960.000000,26636574.059580,43613400.438289
187.000000,40396070.000000,24451619.942125,41279080.584400
188.000000,27043580.000000,70767578.009820,36649188.849683
189.000000,21218410.000000,35330722.102914,34613844.680890
190.000000,28481170.000000,-28345094.080297,26568302.969601
191.000000,27948160.000000,78999958.318902,39110447.190618
192.000000,23714690.000000,49853767.254452,31253999.981650
193.000000,36529740.000000,10418521.324051,37048882.261619
194.000000,29748560.000000,3691267.585931,31591742.106235
195.000000,28364850.000000,95626611.374761,46297780.651159
196.000000,38612290.000000,31729511.986392,42088336.527060
197.000000,32879090.000000,24530437.873600,40270007.358707
198.000000,33031360.000000,60229491.180738,33567619.234810
199.000000,26544720.000000,12518429.413492,24342356.266887
200.000000,36529680.000000,3146432.422546,28086447.293072
201.000000,57430620.000000,36640113.125063,33252375.271570
202.000000,41208710.000000,73577293.262692,41389301.622097
203.000000,34908610.000000,30932856.279223,39647099.832370
204.000000,26339500.000000,12182112.512514,36763618.842714
205.000000,38763700.000000,57744551.642727,36792072.072380
206.000000,32443110.000000,46684990.931958,35509785.143898
207.000000,20892380.000000,5250354.466383,35252679.264663
208.000000,31996320.000000,39125792.547739,40433682.302632
209.000000,64827330.000000,74102344.319201,42804940.494948
210.000000,45751160.000000,39801654.437381,40314442.171392
211.000000,22010360.000000,3838487.053525,28976449.626066
212.000000,18612770.000000,46533124.028036,19368987.009516
213.000000,18463850.000000,14245556.611732,12718584.359577
214.000000,17427570.000000,-47428217.755988,9224052.971192
215.000000,23286380.000000,52970030.780770,22140707.981994
216.000000,17841920.000000,60926518.920815,26086247.953841
217.000000,24185530.000000,-12673315.023909,25617072.637694
218.000000,28865310.000000,20406670.987655,27549797.361899
219.000000,25668330.000000,62289106.845698,28304252.805245
220.000000,17524150.000000,21098872.739379,23671210.789869
221.000000,27738580.000000,-3217975.460187,17738068.617549
222.000000,20543190.000000,18134306.643389,16597452.139948
223.000000,21654750.000000,25392156.799715,16933417.881398
224.000000,35738280.000000,22771954.241146,22778617.782886
225.000000,25829880.000000,4463340.406139,18237384.415357
226.000000,18473070.000000,48636271.388790,20658139.628409
227.000000,19090050.000000,1574294.511398,12753953.094724
228.000000,23243160.000000,-10303706.024195,16981688.664045
229.000000,22727370.000000,34289085.771517,17552891.796144
230.000000,27308200.000000,57338216.172582,20024030.438861
231.000000,23524830.000000,-28313608.058287,12241700.067609
232.000000,20710390.000000,-5641375.636639,15749830.922852
233.000000,29771210.000000,64304896.242075,26576250.460077
234.000000,49696100.000000,26564363.752951,31694345.626254
235.000000,43751810.000000,21852288.511615,42086151.034823
236.000000,42287640.000000,52316970.026853,44599260.708903
237.000000,50943120.000000,82312217.936301,54423965.967823
238.000000,31003380.000000,21338316.091631,48555179.709644
239.000000,31440300.000000,58277184.009544,55327028.773233
240.000000,26148590.000000,60491359.222061,43607520.561968
241.000000,39017490.000000,59187385.859783,45463326.645607
242.000000,23527660.000000,-21102407.537660,33618080.171129
243.000000,30929740.000000,64707790.250115,43071299.435302
244.000000,32416800.000000,79823973.788747,44365697.666710
245.000000,31123000.000000,4833350.372881,36480444.029369
246.000000,23985960.000000,38824149.884471,34558089.049156
247.000000,24755470.000000,33078926.914422,19230962.526799
248.000000,20755140.000000,19753160.172579,20438582.321510
249.000000,19238480.000000,-31373309.320714,8151183.206956
250.000000,27413060.000000,56802453.425097,20972907.266799
251.000000,25737560.000000,9917544.469275,17205525.055479
252.000000,27953810.000000,9847300.211398,30431100.626654
253.000000,27817640.000000,42186011.197400,32086127.347912
254.000000,16991610.000000,72141877.295952,33847911.376897
255.000000,21846400.000000,2599597.679637,25894974.849811
256.000000,18890250.000000,-15890156.336550,23842585.016169
257.000000,17154540.000000,67251594.325763,28133701.808495
258.000000,25323890.000000,54218955.261888,29202061.421502
259.000000,18958570.000000,-29033781.605049,20576220.052991
260.000000,24603320.000000,33167318.799676,27119781.037003
261.000000,21785180.000000,47084672.870053,29607301.160525
262.000000,22389660.000000,32341204.457961,40714441.956010
263.000000,22224400.000000,31983707.955640,44309782.720703
264.000000,20940020.000000,74333461.191728,49867909.813410
265.000000,23793830.000000,50852415.380195,44579534.056736
266.000000,31644240.000000,23338107.360077,44979445.855751
267.000000,28204640.000000,28539783.978513,37944623.337213
268.000000,36054570.000000,89038607.867011,44392983.281887
269.000000,31384720.000000,1489002.417478,38471443.240631
270.000000,32644590.000000,22737308.493916,51790277.894143
271.000000,40613260.000000,102463031.387421,61014034.483592
272.000000,60800480.000000,93447447.675714,61305966.076165
273.000000,39914850.000000,15139219.021216,47101191.123724
274.000000,26147280.000000,18788589.840876,27908514.041653
275.000000,33508960.000000,54754227.860492,20215381.048606
276.000000,25418110.000000,-31705219.469999,5999894.622793
277.000000,23046560.000000,2902166.479382,9377632.737059
278.000000,30273990.000000,34636024.783189,13030698.622977
279.000000,33259460.000000,3060427.751104,16378712.594537
280.000000,29616190.000000,25845956.510478,27458400.305748
281.000000,30483120.000000,28832268.269038,26726360.207570
282.000000,28449940.000000,55767162.428397,29032545.619645
283.000000,32018540.000000,6623908.685883,23157427.524827
284.000000,26924630.000000,-10332495.057396,22116901.687394
285.000000,35661200.000000,63859769.140538,27826842.806295
286.000000,45034370.000000,41723000.525106,33815681.304289
287.000000,40622910.000000,-16702764.414993,39489909.077420
288.000000,54571440.000000,83989237.464438,56433311.423460
289.000000,57423650.000000,105622470.723183,58204453.034106
290.000000,91106840.000000,28153322.173751,56213893.709971
291.000000,35637070.000000,9268743.525167,47490138.735898
292.000000,34499390.000000,101807813.973135,50552028.841317
293.000000,41740600.000000,46604470.755416,45302183.044290
294.000000,51608850.000000,-6085206.726963,41166595.778576
295.000000,58133850.000000,70867335.274602,53042898.653141
296.000000,37169230.000000,62240805.898324,53450131.983078
297.000000,95497900.000000,78162682.655804,69087403.016389
298.000000,64398230.000000,32089772.929861,54255063.876857
299.000000,47597670.000000,101686630.536991,61208910.181923
300.000000,33753490.000000,10553184.091120,43456511.179208
301.000000,43250420.000000,41307116.730700,52097848.206604
302.000000,40620360.000000,69052845.298429,50858909.966413
303.000000,31754210.000000,65194636.521784,55578629.837253
304.000000,35474680.000000,34979733.882975,51785565.510907
305.000000,45968040.000000,53185195.811738,45563087.501116
306.000000,61759000.000000,60461962.477194,35856287.283511
307.000000,41678680.000000,-726386.310943,28194032.921154
308.000000,42704910.000000,-4528990.012373,29669196.331762
309.000000,41141250.000000,82861841.231409,45308046.284861
310.000000,40537700.000000,61573352.327301,49103882.130531
311.000000,39424260.000000,34018360.953494,56430917.761013
312.000000,41523580.000000,43450315.368358,55394021.567686
313.000000,45941750.000000,101837925.851998,58823177.809690
314.000000,41156140.000000,48020378.717705,49262641.195257
315.000000,44662320.000000,1394470.277841,33916647.184452
316.000000,23623970.000000,52116352.805919,34677959.565625
317.000000,31096240.000000,11279194.315372,28036841.623242
318.000000,67678680.000000,50186344.677364,38795553.629349
319.000000,41626820.000000,38078207.250518,36785385.486241
320.000000,36191330.000000,32453208.972866,40389649.681800
321.000000,46271660.000000,46516488.222197,50975209.862674
322.000000,60547340.000000,47134415.379857,51929963.104374
323.000000,46725710.000000,106245309.560819,57062892.435996
324.000000,50991030.000000,18503181.684928,36011223.111248
325.000000,34317760.000000,-1362806.312932,27027602.851300
326.000000,25289270.000000,28384190.610832,20708868.854847
327.000000,33291640.000000,35081506.630626,27085068.411534
328.000000,31774720.000000,12329147.352276,42557219.817589
329.000000,66072170.000000,51842030.976142,58062808.826918
330.000000,91046560.000000,136906930.901547,73035336.370200
331.000000,52954070.000000,53352158.571845,63505241.272609
332.000000,38016810.000000,14346556.438410,57117793.524594
333.000000,36487930.000000,70194002.331268,52885892.306079
334.000000,45713690.000000,81662108.843375,52689231.895809
335.000000,47191700.000000,18292309.643643,44933503.951856
336.000000,29027340.000000,34645891.580562,38682373.201317
337.000000,39992120.000000,56796530.458746,32111789.231112
338.000000,38681170.000000,9807213.296771,28140847.473800
339.000000,28751540.000000,5150820.106626,33270576.048367
340.000000,32874330.000000,64097057.500863,38921300.569641
341.000000,32389280.000000,76661754.954111,47176558.109796
342.000000,22692880.000000,-6133346.448875,36065683.021080
343.000000,28802550.000000,57734557.926044,39618816.089606
344.000000,30280450.000000,39322889.081933,33470813.876919
345.000000,39494770.000000,15220745.796232,39904628.246306
346.000000,52902320.000000,48962596.352276,43988114.766686
347.000000,41084070.000000,78098435.693088,41707500.609345
348.000000,26656630.000000,27844965.066295,34265140.989362
349.000000,28784550.000000,-22349544.237638,27265174.708271
350.000000,33507770.000000,54368243.074212,33202719.971431
351.000000,31961120.000000,74669831.307173,31263338.531666
352.000000,28540490.000000,-275703.809832,22618459.214008
353.000000,24435010.000000,-22376563.324701,15624431.636474
354.000000,23171020.000000,43917427.055801,21022840.510923
355.000000,22560440.000000,43713911.808590,27230178.583330
356.000000,29729270.000000,7699725.042365,27839791.137681
357.000000,23430370.000000,35621865.579261,29967137.586970
358.000000,22811140.000000,34876021.503307,36111504.076143
359.000000,27581270.000000,24196546.842006,40289802.543610
360.000000,95584080.000000,84644529.947138,46864999.488125
361.000000,26388050.000000,36378695.744290,28928076.830602
362.000000,26869880.000000,350028.320023,19574916.261380
363.000000,31495630.000000,-23337276.857478,9617175.176784
364.000000,36810120.000000,42293019.303966,21855207.028279
365.000000,31801970.000000,41327608.337214,24714149.079002
366.000000,41411350.000000,22218682.754865,28615304.882096
367.000000,49118510.000000,6997564.730857,28636360.058941
368.000000,35644510.000000,44441780.775328,31840028.057142
369.000000,39194720.000000,62415667.329954,38811176.351256
370.000000,37418910.000000,-720440.505899,32647402.863745
371.000000,34121240.000000,51871088.011295,39418511.741991
372.000000,33290830.000000,45921072.364180,31151855.604975
373.000000,27363960.000000,27790625.644665,35474804.858791
374.000000,43177540.000000,-773602.053809,27763199.626776
375.000000,48696960.000000,74909997.956860,37752366.918411
376.000000,27074260.000000,23922948.930511,30271369.712477
377.000000,22751390.000000,16828061.264626,31466124.980174
378.000000,20400770.000000,36558429.585682,23206538.964479
379.000000,18457720.000000,31339019.054738,14101531.016282
380.000000,18505780.000000,-16370622.959230,3915282.922767
381.000000,18965930.000000,-24918662.666716,4675750.911195
382.000000,25682700.000000,28620715.652408,13754945.736775
383.000000,30149410.000000,54986600.401422,25299979.877464
384.000000,35034410.000000,-203285.111357,20673697.700003
385.000000,27595310.000000,24323080.790161,19153477.292032
386.000000,28595230.000000,18543468.230134,11112499.251942
387.000000,20679270.000000,-3856771.082839,11359257.728675
388.000000,25864510.000000,4492102.756641,14615534.237518
389.000000,24592460.000000,39555572.715422,19441114.089014
390.000000,23389530.000000,29626215.915793,20259798.900055
391.000000,22493750.000000,-5806795.368792,19145074.721060
392.000000,25525650.000000,19567059.862107,19827576.661848
393.000000,25396100.000000,52214803.005661,34777862.987053
394.000000,33408050.000000,1625576.374931,46212412.974850
395.000000,62317430.000000,92987599.642288,63639561.475433
396.000000,67812280.000000,123479259.166919,62157538.435710
397.000000,37847260.000000,-2214117.193142,43184803.660256
398.000000,20912890.000000,362726.822590,33510577.436866
399.000000,23975350.000000,66882928.097676,29049459.087798
400.000000,19005150.000000,37316210.627299,24502749.048364
401.000000,16553500.000000,-15528486.548473,20848859.194234
402.000000,18680930.000000,10450555.404727,20009780.492291
403.000000,15955820.000000,66048201.254679,23934694.065142
404.000000,20670830.000000,14656690.999073,22205333.426830
405.000000,20182050.000000,-20980167.633106,20326409.313065
406.000000,16365720.000000,53704544.055023,28514231.217242
407.000000,15515000.000000,50100403.062269,33016159.685717
408.000000,15009800.000000,11194323.548212,32455432.736584
409.000000,12506830.000000,41848205.286514,30459853.011940
410.000000,18000180.000000,32819586.214452,25150704.229907
411.000000,18776390.000000,2513344.766443,19609062.660467
412.000000,15801370.000000,26164634.034830,22798475.848794
413.000000,19636390.000000,17414126.175316,19061917.509457
414.000000,17426160.000000,38227229.993496,28655408.856695
415.000000,16543880.000000,4656067.290041,29331060.419006
416.000000,13954810.000000,52554557.833236,33154742.437803
417.000000,17675210.000000,65332132.601255,30673741.931939
418.000000,22551660.000000,-29906643.516565,13800001.402071
419.000000,17352380.000000,14202813.531773,17969254.463368
420.000000,24987260.000000,24398653.409810,17341706.708970
421.000000,24378480.000000,36847652.337059,33557300.645753
422.000000,31632320.000000,23208954.144178,38485745.837089
423.000000,27185130.000000,70250357.550712,47100365.940511
424.000000,25649240.000000,53660486.342102,40543656.718803
425.000000,20490090.000000,17474823.467075,30474326.349204
426.000000,33538550.000000,13067542.489600,30592103.420812
427.000000,18458410.000000,18426911.267762,22946093.636594
428.000000,61438290.000000,89549236.062189,37554672.116637
429.000000,21584720.000000,-35801094.602495,17454834.059242
430.000000,21480120.000000,44771097.262099,27134299.201623
431.000000,16859020.000000,27850338.125887,18819545.964968
432.000000,18069930.000000,502194.540301,25619198.248320
433.000000,26580710.000000,38452330.327548,32158117.558230
434.000000,21329170.000000,54781906.052729,34424481.509031
435.000000,20912820.000000,31454798.197288,35145431.546684
436.000000,21535570.000000,11277925.465666,29682515.867806
437.000000,26190620.000000,47636986.619351,30314786.558437
438.000000,23377690.000000,28257819.569416,21393031.085230
439.000000,27468700.000000,10303804.948608,19789405.518250
440.000000,18503410.000000,-7711298.485459,10088613.840870
441.000000,22409110.000000,43558565.334334,11007293.504946
442.000000,17186760.000000,-4900445.969706,7628795.163520
443.000000,23129400.000000,-30516986.001990,8869676.119385
444.000000,19966590.000000,60204839.506587,17665121.888096
445.000000,15228270.000000,31124051.355200,19543111.055242
446.000000,18383080.000000,-29166550.886741,17519414.527396
447.000000,18083080.000000,48814008.447470,26961958.330917
448.000000,17014490.000000,41827430.413010,21826373.650952
449.000000,19046600.000000,18773592.394745,29235584.484256
450.000000,23639070.000000,-14155827.001519,25592435.630887
451.000000,20393070.000000,79826714.071455,35201850.327617
452.000000,26167950.000000,53992382.961067,30387030.463691
453.000000,27942430.000000,-29076267.038360,24269043.869235
454.000000,23141260.000000,23942716.564875,25063676.910274
455.000000,28053230.000000,74831799.265391,32283008.531366
456.000000,42557530.000000,5100097.122404,29044090.766541
457.000000,56137230.000000,25300165.755242,36065609.667341
458.000000,33944110.000000,42835494.986840,35324795.396539
459.000000,66454720.000000,59383977.204552,44266826.117542
460.000000,52228910.000000,26076749.426691,48291628.895991
461.000000,41976500.000000,48401748.838830,45923952.890657
462.000000,35617230.000000,99343236.663531,45961487.223603
463.000000,27850370.000000,-19625897.587913,25787209.287010
464.000000,28331540.000000,5184091.561774,27443392.606775
465.000000,33674960.000000,55815831.987039,28948350.957428
466.000000,36396590.000000,41620293.672276,32324130.474337
467.000000,65270950.000000,19062047.415988,36558886.621803
468.000000,34693280.000000,20247558.216451,33359873.071747
469.000000,20544600.000000,80309726.178473,36852010.725136
470.000000,26575010.000000,16862118.753026,26047893.301956
471.000000,21561320.000000,-14738508.285167,19138808.091115
472.000000,25100510.000000,38764657.528219,15971762.913334
473.000000,22858840.000000,27141716.054059,16256258.878023
474.000000,22401040.000000,-20838965.182887,18036656.903266
475.000000,28567110.000000,37189286.539493,23269053.864602
476.000000,28976200.000000,65418769.007502,30667587.805771
477.000000,34949690.000000,-16006651.045423,27965955.529134
478.000000,26750260.000000,41393229.813375,36134027.516056
479.000000,34581850.000000,70246659.634694,35391189.225858
480.000000,30237640.000000,16810266.227362,29945305.518658
481.000000,37425640.000000,8502532.816468,32225002.145540
482.000000,38116290.000000,28941362.058877,26753210.291689
483.000000,41464880.000000,84281248.228170,37964226.296038
484.000000,39824200.000000,-22303345.310607,26005038.405025
485.000000,36778560.000000,34365550.219192,34924810.899817
486.000000,40984540.000000,65153970.418152,29085886.311036
487.000000,41335980.000000,23541766.152729,27830403.194315
488.000000,36387880.000000,-17748404.687303,22851433.999044
489.000000,19620520.000000,44160274.752288,25835693.583213
490.000000,32931110.000000,61819714.316953,31814170.311210
491.000000,38313330.000000,-11695693.171208,31867406.146866
492.000000,22676520.000000,41432921.155636,41187684.441351
493.000000,29334630.000000,85296769.273350,40425770.097732
494.000000,31464170.000000,31729435.314369,41322940.134336
495.000000,32191070.000000,-19713891.043746,31932370.830127
496.000000,32130360.000000,90466360.940310,41828013.093663
497.000000,24518850.000000,40987721.682836,36268181.083823
498.000000,31686450.000000,3196474.922709,39975340.292031
499.000000,23273160.000000,50833151.138664,42594833.226863
500.000000,27825140.000000,73984429.174132,46376105.342227
501.000000,38426060.000000,32495852.250083,42563270.115974
502.000000,48706170.000000,26817266.273398,43502613.349099
503.000000,37568080.000000,40650189.812650,37614749.061573
504.000000,38885510.000000,77332766.866583,42970564.003596
505.000000,37353670.000000,-4601393.529237,28086260.962135
506.000000,33772050.000000,32553441.352420,30877397.150622
507.000000,30953760.000000,32357624.263399,20255778.889630
508.000000,37378070.000000,25734360.435044,24857130.678483
509.000000,33690660.000000,-11958968.194045,24668503.171570
510.000000,40113790.000000,54335122.753914,34523832.371017
511.000000,50908540.000000,75604283.809864,38910933.370217
512.000000,40382890.000000,-3542074.143393,39045712.058716
513.000000,32483310.000000,25976457.617415,46930209.032053
514.000000,60774900.000000,108449048.367684,60816843.335765
515.000000,70583530.000000,60615179.715018,64990365.853635
516.000000,54145930.000000,42290275.311748,68662933.772275
517.000000,51467440.000000,87941269.260926,70774042.985805
518.000000,68171940.000000,85798295.113304,77801627.975575
519.000000,72215320.000000,52180263.243138,81103903.227173
520.000000,85957050.000000,112354805.092729,85241819.882779
521.000000,44453230.000000,104798928.117759,75394635.527274
522.000000,32234520.000000,28809823.144100,64257743.669348
523.000000,45635470.000000,31233745.176719,53380261.734504
524.000000,50565420.000000,102899026.211071,55946037.722758
525.000000,39075250.000000,28815254.194180,50114454.583173
526.000000,41438280.000000,24732200.563955,54126791.511658
527.000000,51368540.000000,90220414.410659,58334447.260689
528.000000,32395870.000000,71140918.819383,49573565.524123
529.000000,27052000.000000,28774970.238763,42300818.141919
530.000000,31306390.000000,-11324829.325190,28447527.853898
531.000000,31087330.000000,64806763.141116,32522840.751401
532.000000,34260230.000000,44937241.539843,32225281.068264
