DataSize,MapSize,LoadFactor,LookupTimeMs
10000,16,625.0000,22.1655
10000,64,156.2500,5.6505
10000,256,39.0625,1.9205
10000,1024,9.7656,1.1413
10000,4096,2.4414,0.5982
50000,16,3125.0000,20.4441
50000,64,781.2500,5.3689
50000,256,195.3125,1.6372
50000,1024,48.8281,0.7857
50000,4096,12.2070,0.5392
100000,16,6250.0000,20.3468
100000,64,1562.5000,5.2795
100000,256,390.6250,1.6481
100000,1024,97.6563,0.8190
100000,4096,24.4141,0.5375
